Team_1,Team_2,Winner
Telugu Titans,U Mumba,
Bengaluru Bulls,Patna Pirates,
Bengaluru Bulls,Fortune Giants,
Telugu Titans,Tamil Thalaivas,
U Mumba,Pink Panthers,
Puneri Paltan,Haryana Steelers,
UP Yoddha,Bengal Warriors,
Telugu Titans,Dabang Delhi,
UP Yoddha,Fortune Giants,
Telugu Titans,Patna Pirates,
U Mumba,Puneri Paltan,
Pink Panthers,Bengal Warriors,
Dabang Delhi,Haryana Steelers,
U Mumba,Bengaluru Bulls,
Tamil Thalaivas,Patna Pirates,
Bengal Warriors,Puneri Paltan,
Haryana Steelers,Pink Panthers,
U Mumba,UP Yoddha,
Fortune Giants,Dabang Delhi,
Telugu Titans,UP Yoddha,
U Mumba,Fortune Giants,
Patna Pirates,Pink Panthers,
Bengal Warriors,Bengaluru Bulls,
Haryana Steelers,Tamil Thalaivas,
Patna Pirates,Puneri Paltan,
Dabang Delhi,Pink Panthers,
Fortune Giants,Puneri Paltan,
UP Yoddha,Tamil Thalaivas,
Patna Pirates,Haryana Steelers,
Telugu Titans,Bengaluru Bulls,
Bengal Warriors,U Mumba,
Patna Pirates,UP Yoddha,
Fortune Giants,Tamil Thalaivas,
Puneri Paltan,Dabang Delhi,
Bengaluru Bulls,Haryana Steelers,
Fortune Giants,Telugu Titans,
Bengal Warriors,Telugu Titans,
UP Yoddha,Bengaluru Bulls,
UP Yoddha,Haryana Steelers,
Fortune Giants,Bengal Warriors,
Pink Panthers,Puneri Paltan,
U Mumba,Patna Pirates,
Fortune Giants,Pink Panthers,
Tamil Thalaivas,Bengaluru Bulls,
Bengal Warriors,Dabang Delhi,
Haryana Steelers,Telugu Titans,
Tamil Thalaivas,Puneri Paltan,
U Mumba,Haryana Steelers,
UP Yoddha,Pink Panthers,
Puneri Paltan,Bengaluru Bulls,
Tamil Thalaivas,Pink Panthers,
Bengal Warriors,Patna Pirates,
Fortune Giants,Patna Pirates,
Tamil Thalaivas,U Mumba,
Dabang Delhi,Bengaluru Bulls,
Pink Panthers,Telugu Titans,
Pink Panthers,Bengaluru Bulls,
Dabang Delhi,UP Yoddha,
Bengal Warriors,Haryana Steelers,
UP Yoddha,Puneri Paltan,
Fortune Giants,Haryana Steelers,
Dabang Delhi,U Mumba,
Bengal Warriors,Tamil Thalaivas,
Telugu Titans,Puneri Paltan,
Dabang Delhi,Patna Pirates,
Bengaluru Bulls,Fortune Giants,
U Mumba,Pink Panthers,
UP Yoddha,Bengal Warriors,
Bengaluru Bulls,Tamil Thalaivas,
Puneri Paltan,Haryana Steelers,
Telugu Titans,Tamil Thalaivas,
Pink Panthers,Dabang Delhi,
Bengaluru Bulls,Patna Pirates,
Puneri Paltan,U Mumba,
Patna Pirates,UP Yoddha,
Bengaluru Bulls,Telugu Titans,
Bengal Warriors,Fortune Giants,
Dabang Delhi,Haryana Steelers,
Dabang Delhi,Tamil Thalaivas,
Bengal Warriors,Puneri Paltan,
UP Yoddha,Fortune Giants,
Tamil Thalaivas,Patna Pirates,
Telugu Titans,U Mumba,
Haryana Steelers,Pink Panthers,
Bengal Warriors,U Mumba,
Pink Panthers,Patna Pirates,
Bengal Warriors,Bengaluru Bulls,
Puneri Paltan,Fortune Giants,
Tamil Thalaivas,Haryana Steelers,
Dabang Delhi,Fortune Giants,
Puneri Paltan,Patna Pirates,
Pink Panthers,UP Yoddha,
Telugu Titans,Dabang Delhi,
U Mumba,UP Yoddha,
Puneri Paltan,Tamil Thalaivas,
Bengal Warriors,Haryana Steelers,
Telugu Titans,Patna Pirates,
Puneri Paltan,Bengaluru Bulls,
Pink Panthers,Fortune Giants,
UP Yoddha,Tamil Thalaivas,
U Mumba,Fortune Giants,
Pink Panthers,Bengal Warriors,
Patna Pirates,Haryana Steelers,
Dabang Delhi,Bengaluru Bulls,
Telugu Titans,Bengal Warriors,
Pink Panthers,Puneri Paltan,
Patna Pirates,Dabang Delhi,
U Mumba,Bengaluru Bulls,
Pink Panthers,Telugu Titans,
Haryana Steelers,UP Yoddha,
Fortune Giants,Tamil Thalaivas,
Dabang Delhi,Puneri Paltan,
Haryana Steelers,Fortune Giants,
Bengal Warriors,Dabang Delhi,
Tamil Thalaivas,U Mumba,
U Mumba,Patna Pirates,
Haryana Steelers,Bengaluru Bulls,
Telugu Titans,Puneri Paltan,
Pink Panthers,Bengaluru Bulls,
Haryana Steelers,Telugu Titans,
UP Yoddha,Dabang Delhi,
Fortune Giants,Patna Pirates,
Bengal Warriors,Patna Pirates,
UP Yoddha,Puneri Paltan,
Telugu Titans,Fortune Giants,
Tamil Thalaivas,Pink Panthers,
Bengal Warriors,Tamil Thalaivas,
To be announced,To be announced,
To be announced,To be announced,
To be announced,To be announced,
To be announced,To be announced,
To be announced,To be announced,
